gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene7674,138858.365,-1.454369691,0.901871167,0.000443111,0.001631956
gene3840,291.9943324,-1.46623271,0.672374815,6.35E-05,0.000299267
gene6574,888.252238,-1.467338281,0.784204797,0.000187481,0.00077335
gene11744,110037.12,-1.481852006,0.853194149,0.000291505,0.001132265
gene3693,119791.6457,-1.483688912,0.143086106,1.60E-29,1.43E-26
gene7047,15477.12347,-1.48886341,0.941035205,0.000478223,0.001744836
gene4909,58.30954365,-1.489915251,0.645690905,3.96E-05,0.00020012
gene11831,4784.315769,-1.523085969,0.373541922,1.99E-08,2.59E-07
gene4764,34215.33292,-1.528451168,0.961942182,0.000458774,0.00168271
gene1490,33064.1066,-1.535009864,0.554471994,6.77E-06,4.32E-05
gene4721,2634.928685,-1.545880714,0.505459649,2.09E-06,1.55E-05
gene7819,21731.13501,-1.556979166,0.67366277,3.88E-05,0.000196448
gene838,24.5336472,-1.566588567,0.892281444,0.000265138,0.001045758
gene5695,13320.08052,-1.57213737,0.433770657,1.83E-07,1.84E-06
gene878,34724.2922,-1.573116986,0.415679304,8.78E-08,9.58E-07
gene7465,9303.752833,-1.588215558,0.721748699,5.80E-05,0.000277054
gene8180,19069.6689,-1.599825645,0.175871873,1.30E-23,3.54E-21
gene8276,5543.068955,-1.604450212,0.676150091,3.13E-05,0.000163399
gene8299,977.7678486,-1.613759543,1.148965761,0.000766942,0.002644766
gene5631,107.615809,-1.61589749,0.722947424,5.16E-05,0.000250639
gene9687,9.520335241,-1.620111739,1.086667028,0.000594912,0.002115674
gene9447,1434.592385,-1.628392555,0.869957821,0.000179362,0.000744525
gene1077,70221.24205,-1.638424664,0.904589379,0.000218481,0.000883172
gene6520,2058.806914,-1.646634119,0.467629568,3.34E-07,3.10E-06
gene7301,6793.208673,-1.660639068,0.540072398,2.23E-06,1.64E-05
gene1970,1095.10931,-1.672367442,0.455488472,1.84E-07,1.84E-06
gene8612,525.7428091,-1.688194686,0.949444044,0.000242115,0.000967146
gene5630,20734.92301,-1.692152453,0.794560461,7.63E-05,0.000350451
gene2968,511.4136097,-1.694948556,0.510198457,8.65E-07,7.12E-06
gene7546,756.6084026,-1.70266973,0.551591684,2.28E-06,1.67E-05
gene4572,21704.99705,-1.709039556,0.524758484,1.17E-06,9.20E-06
gene9675,6386.827409,-1.720636899,0.640355679,1.08E-05,6.48E-05
gene7189,17393.19074,-1.731078303,0.984852413,0.000257591,0.001018882
gene13234,919.1211026,-1.762403815,0.511881516,6.22E-07,5.37E-06
gene2022,42644.97945,-1.772351368,0.920406509,0.000152542,0.000646058
gene9840,5018.978385,-1.775531899,0.574427126,2.58E-06,1.86E-05
gene13301,330.3831792,-1.794494924,0.786831448,4.83E-05,0.000237877
gene7460,3655.16221,-1.796397318,1.637189376,0.001409356,0.004478653
gene13065,64624.61072,-1.802714191,0.633050938,6.72E-06,4.30E-05
gene4942,8488.481369,-1.804761508,0.381747986,2.40E-09,3.91E-08
gene5844,16383.79943,-1.809485062,1.143212534,0.000429738,0.001588317
gene9491,215856.2175,-1.82841608,0.805971921,5.15E-05,0.000250322
gene2142,4236.940034,-1.843388931,0.702042253,1.57E-05,8.93E-05
gene8414,11841.08337,-1.852888213,0.616099646,4.12E-06,2.80E-05
gene1075,2254.138836,-1.862984133,1.083711375,0.000288284,0.001121493
gene7190,44426.01852,-1.868713031,0.980089863,0.00016508,0.000691665
gene6984,322.4053972,-1.876355248,0.571599739,1.58E-06,1.20E-05
gene9936,3.93630865,-1.884739007,1.496757645,0.000953337,0.00319165
gene138,77434.03064,-1.888300867,0.919168259,0.000105619,0.000468914
gene9938,3.29297404,-1.895360266,1.485724368,0.000913052,0.003074945
gene9824,587.0102146,-1.909534665,0.729588812,1.76E-05,9.89E-05
gene12995,153.0130611,-1.917640954,0.552533658,8.73E-07,7.15E-06
gene12437,7586.999112,-1.918927786,0.791207323,3.33E-05,0.000172442
gene2148,8317.011414,-1.920435831,0.630495893,4.12E-06,2.80E-05
gene9838,3995.733505,-1.97504978,0.601976172,2.04E-06,1.51E-05
gene3336,1559.331857,-1.983714257,0.483878872,9.70E-08,1.05E-06
gene3337,2195.527559,-1.988445104,0.650554833,4.57E-06,3.05E-05
gene9839,3642.681003,-2.017571249,0.66504945,5.23E-06,3.43E-05
gene8506,72350.11053,-2.020011013,0.539347799,4.35E-07,3.91E-06
gene2019,3149.518965,-2.032344853,1.355232357,0.00050408,0.001830106
gene11236,31164.44075,-2.067169722,0.606673144,1.66E-06,1.26E-05
gene7489,796.0821797,-2.083989642,0.724971146,9.86E-06,6.01E-05
gene7463,15799.2767,-2.096925517,0.903206115,5.34E-05,0.000258007
gene7461,26187.6301,-2.106284389,0.729824114,9.86E-06,6.01E-05
gene11448,13.77502367,-2.10661326,2.127791591,0.00113192,0.003698473
gene1214,501.2897231,-2.117005778,0.901003346,5.00E-05,0.00024416
gene8270,21613.41947,-2.117844736,1.040720261,0.000121947,0.000529932
gene8259,56550.03172,-2.133859903,0.964787028,7.49E-05,0.000345516
gene6069,263.9626932,-2.143194964,0.950483767,6.67E-05,0.000312523
gene8675,19012.24505,-2.148220714,0.822912163,2.40E-05,0.000129325
gene7464,13518.14343,-2.150940176,0.768441412,1.37E-05,7.93E-05
gene9937,3.52831195,-2.199605211,1.332754685,0.000332812,0.001272171
gene2101,8935.256541,-2.204470418,0.931386243,5.07E-05,0.000246927
gene10628,234.4011056,-2.223234044,1.308478409,0.000294461,0.001141618
gene8498,1550.021937,-2.230496943,0.56959631,4.67E-07,4.17E-06
gene3259,15052.89609,-2.253483506,0.77046503,1.09E-05,6.57E-05
gene5847,12670.73101,-2.26047361,0.559630912,3.35E-07,3.10E-06
gene12095,5814.453211,-2.266694427,0.752822291,8.69E-06,5.38E-05
gene5645,92.2577263,-2.30511665,0.697281918,3.89E-06,2.67E-05
gene7146,10863.72068,-2.336560817,0.62855351,1.18E-06,9.32E-06
gene11233,130.3976328,-2.340925275,0.887256934,2.69E-05,0.000142576
gene5964,234.5993402,-2.358891048,0.415888205,6.22E-10,1.15E-08
gene11742,109.5708547,-2.375145954,0.670811837,2.21E-06,1.63E-05
gene3333,9476.176431,-2.376484066,0.642239569,1.36E-06,1.06E-05
gene6901,8485.75709,-2.394409335,0.635785922,1.16E-06,9.17E-06
gene8950,603.8489069,-2.412867996,0.62057893,8.24E-07,6.85E-06
gene6522,2645.888382,-2.414723181,0.623664185,8.71E-07,7.14E-06
gene6912,30.48289642,-2.46656606,0.9844173,4.14E-05,0.00020769
gene11237,1749.126354,-2.502121532,1.104343629,7.56E-05,0.000347788
gene3335,1266.131141,-2.504098588,0.525490613,5.10E-08,5.91E-07
gene2631,739.3805773,-2.537822202,0.631143074,7.09E-07,5.99E-06
gene56,956.1347212,-2.54276347,0.519236578,3.39E-08,4.17E-07
gene6899,9744.761399,-2.549724132,1.154099911,8.71E-05,0.000394284
gene11099,2105.358369,-2.5564119,0.48858609,8.85E-09,1.27E-07
gene759,249.6527561,-2.561967691,0.500027009,1.42E-08,1.92E-07
gene12727,435.5253228,-2.585791212,0.822871653,9.07E-06,5.59E-05
gene12732,8.697563141,-2.602121686,2.217144288,0.000591497,0.002105923
gene2141,4889.431585,-2.604007879,0.613963366,4.01E-07,3.65E-06
gene5229,1583.246423,-2.613047923,0.724297694,2.70E-06,1.94E-05
gene1700,13125.36965,-2.64239162,0.834826803,9.03E-06,5.57E-05
gene12734,2539.925588,-2.655341632,0.80833012,6.73E-06,4.31E-05
gene7669,130.8932043,-2.667504508,0.397248809,3.92E-12,1.16E-10
gene9934,3.44191199,-2.698317205,1.200894111,8.12E-05,0.000370468
gene11481,78351.50437,-2.707133779,0.440020512,1.23E-10,2.61E-09
gene1483,2433.468083,-2.707227097,0.602604512,2.10E-07,2.05E-06
gene9935,4.020323199,-2.737741758,1.53992746,0.000214594,0.000869424
gene1497,132.7024388,-2.749122735,0.623588308,2.97E-07,2.80E-06
gene142,54807.40664,-2.774747623,1.078375651,3.98E-05,0.000201046
gene6575,1044.971595,-2.776941586,0.71656414,1.58E-06,1.20E-05
gene8203,10138.21446,-2.78310643,0.828768192,6.28E-06,4.04E-05
gene2780,12258.46652,-2.788511455,0.448328137,9.06E-11,1.99E-09
gene1485,3697.626925,-2.814727443,0.568161592,4.54E-08,5.37E-07
gene7749,1900.239816,-2.842899769,0.648008028,3.62E-07,3.33E-06
gene7432,137941.239,-2.859824652,0.744732465,1.90E-06,1.42E-05
gene7491,234.8998299,-2.861543033,1.124840616,4.32E-05,0.000215268
gene8079,37.87213963,-2.864082928,1.158615487,5.04E-05,0.000245951
gene8759,818.0754923,-2.865298564,0.476819363,3.17E-10,6.18E-09
gene3992,5446.017944,-2.874074811,0.543913058,1.21E-08,1.68E-07
gene7670,385.5952989,-2.878128833,0.716494086,1.17E-06,9.26E-06
gene7459,2857.560181,-2.896990664,1.354336077,0.000100341,0.000446908
gene1368,2260.833494,-2.939707268,0.501701397,7.48E-10,1.35E-08
gene12346,17.59203878,-2.984355425,2.068560799,0.000320802,0.001231905
gene5644,636.7586342,-3.027400103,0.573388379,1.39E-08,1.88E-07
gene6654,6499.750063,-3.091574505,0.852208517,3.88E-06,2.67E-05
gene6047,542.1892465,-3.107407391,0.718194966,5.51E-07,4.83E-06
gene1480,3602.620091,-3.133516233,0.777893055,1.36E-06,1.06E-05
gene12902,485.2847327,-3.157329714,0.69768441,2.94E-07,2.78E-06
gene12215,11159.98621,-3.158355786,0.578409527,6.13E-09,9.07E-08
gene13500,69.04967413,-3.192568621,0.760701496,8.56E-07,7.06E-06
gene13146,1212.588733,-3.218209208,0.85007611,2.72E-06,1.95E-05
gene10627,232.9404476,-3.219451694,0.81490117,1.75E-06,1.33E-05
gene12728,115.1605985,-3.220225491,0.988937166,9.70E-06,5.93E-05
gene7671,90.27434659,-3.225458643,0.783514889,1.10E-06,8.75E-06
gene8297,4226.301749,-3.238325913,0.758931325,7.03E-07,5.95E-06
gene7492,378.0829756,-3.298246093,1.241928569,3.39E-05,0.000174633
gene7490,1816.659069,-3.307826656,1.004303291,9.00E-06,5.56E-05
gene4610,40702.62858,-3.336616215,0.812463557,1.16E-06,9.19E-06
gene13642,4237.458058,-3.34281271,0.766212901,5.32E-07,4.69E-06
gene12730,113.9078831,-3.346491182,0.901151189,3.36E-06,2.34E-05
gene10636,283.7175043,-3.382725787,0.660004874,2.89E-08,3.61E-07
gene7673,13530.91428,-3.383259528,0.758579352,3.88E-07,3.54E-06
gene1290,5756.577291,-3.420587678,0.690442978,6.01E-08,6.84E-07
