gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene142,54807.40664,-3.071770394,0.917316801,4.12E-06,5.55E-05
gene12346,17.59203878,-3.110610867,2.112343819,8.25E-05,0.000632342
gene8890,89.73372269,-3.300457797,0.738602324,1.25E-07,3.15E-06
gene1482,1187.780734,-3.302931361,0.744942824,1.42E-07,3.53E-06
gene11238,758.5015022,-3.425146585,0.66459152,4.80E-09,2.18E-07
gene4318,5253.382969,-3.565732401,0.685336073,2.91E-09,1.45E-07
gene7431,19833.38272,-3.65723503,0.716408663,4.10E-09,1.91E-07
gene8889,9800.996737,-3.664354109,0.747321837,1.10E-08,4.19E-07
gene12732,8.697563141,-3.845059135,2.339249338,3.58E-05,0.000320467
gene10593,7833.06999,-3.92702628,0.771426521,2.83E-09,1.42E-07
gene4238,24.3405748,-4.222473495,2.474549319,2.45E-05,0.00023435
gene9556,43.87993265,-4.359500089,0.669578807,3.17E-13,5.18E-11
gene7672,3863.564978,-4.387852828,0.918994712,7.45E-09,3.04E-07
gene11261,474.5302968,-5.760350365,1.800045548,9.24E-07,1.64E-05
